crisis_2014,1.000 (0.001),1.001 (0.001),1.000 (0.001),1.001 (0.001),1.000 (0.001),,1.001 (0.001),,1.000 (0.001),1.000 (0.001),,1.001 (0.001),1.001 (0.001),1.001 (0.001),1.000 (0.001),1.001 (0.001),1.001 (0.001),1.000 (0.001),1.000 (0.001),1.000 (0.001),,1.001 (0.001),1.001 (0.001)
state_ownership_pct_x_crisis_2014,0.994 (0.009),,,0.994 (0.009),,,,,,0.994 (0.009),,,,0.994 (0.009),,0.994 (0.009),,,,0.994 (0.009),,,0.994 (0.009)
Observations,88587,142222,88587,142222,88587,88587,142222,142222,88587,88587,142222,142222,142222,142222,88587,142222,142222,88587,88587,88587,88587,142222,142222
Subjects,930,1092,930,1092,930,930,1092,1092,930,930,1092,1092,1092,1092,930,1092,1092,930,930,930,930,1092,1092
Events,608,770,608,770,608,608,770,770,608,608,770,770,770,770,608,770,770,608,608,608,608,770,770
Log Likelihood,-3812.83,-4838.03,-3812.29,-4838.68,-3812.29,-3813.08,-4838.02,-4840.18,-3813.06,-3812.83,-4840.18,-4837.91,-4837.96,-4838.67,-3811.89,-4836.76,-4838.95,-3813.06,-3811.89,-3810.90,-3813.08,-4838.95,-4836.72
AIC Partial,7647.67,9702.05,7646.59,9703.35,7646.59,7644.15,9706.04,9698.36,7646.12,7647.67,9698.36,9705.83,9701.92,9707.34,7645.77,9707.53,9701.89,7646.12,7645.77,7647.80,7644.15,9699.90,9715.43
-log2(p) LLR,51.16,75.47,51.87,74.61,51.87,54.32,72.03,80.20,52.56,51.16,80.20,72.17,75.56,71.18,52.40,70.40,76.05,52.56,52.40,50.46,54.32,77.92,64.44
C-index,0.691,0.697,0.691,0.697,0.691,0.695,0.696,0.694,0.691,0.691,0.694,0.698,0.699,0.696,0.687,0.699,0.696,0.691,0.687,0.687,0.695,0.697,0.699
crisis_2008,,1.001 (0.001),,1.001 (0.001),,,1.001 (0.001),,,,,1.001 (0.001),1.001 (0.001),1.001 (0.001),,1.001 (0.001),1.001 (0.001),,,,,1.001 (0.001),1.001 (0.001)
foreign_ownership_total_pct_x_crisis_2008,,0.995 (0.023),,,,,0.995 (0.023),,,,,,,,,0.995 (0.023),,,,,,,0.995 (0.023)
foreign_ownership_total_pct_x_crisis_2014,,1.021 (0.014),1.020 (0.015),,1.020 (0.015),,1.021 (0.014),,,,,,,,,1.021 (0.014),,,,1.020 (0.015),,,1.021 (0.014)
state_ownership_pct_x_crisis_2008,,,,0.997 (0.012),,,,,,,,,,0.997 (0.012),,0.997 (0.012),,,,,,,0.997 (0.012)
crisis_2004,,,,,,,1.000 (0.003),,,,,1.000 (0.003),,1.000 (0.003),,,1.000 (0.003),,,,,,1.000 (0.003)
foreign_ownership_total_pct_x_crisis_2004,,,,,,,0.997 (0.066),,,,,,,,,,,,,,,,0.997 (0.066)
family_connection_ratio_x_crisis_2004,,,,,,,,,,,,0.992 (0.027),,,,,,,,,,,0.992 (0.027)
family_connection_ratio_x_crisis_2008,,,,,,,,,,,,0.997 (0.008),0.997 (0.008),,,0.997 (0.008),,,,,,,0.997 (0.008)
family_connection_ratio_x_crisis_2014,,,,,,,,,,,,0.992 (0.006),0.992 (0.006),,0.991 (0.006),0.992 (0.006),,,0.991 (0.006),0.991 (0.006),,,0.992 (0.006)
state_ownership_pct_x_crisis_2004,,,,,,,,,,,,,,0.998 (0.033),,,,,,,,,0.998 (0.033)
